player_id,player_display_name,player_name,position,position_group,team,season,week,season_type,attempts,completions,passing_yards,passing_tds,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,passing_epa,rushing_epa,receiving_epa,target_share,air_yards_share,wopr,macabets_performance_cap,macabets_requested_season,macabets_active_season,macabets_is_fallback
00-0032762,Chris Jones,C.Jones,DE,DL,KC,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032763,Austin Johnson,Au.Johnson,NT,DL,JAX,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032764,Derrick Henry,D.Henry,RB,RB,BAL,2025,1,REG,0,0,0,0,18,169,2,1,1,13,0,,3.486422095389571,0.8707738592056558,0.05263157894736842,0.028901734104046242,0.09917858229388499,0.2,2026,2025,True
00-0032889,A'Shawn Robinson,A.Robinson,DT,DL,CAR,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032943,Riley Dixon,R.Dixon,P,SPEC,TB,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033038,Eric Murray,E.Murray,S,DB,JAX,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033040,Tyreek Hill,T.Hill,WR,WR,MIA,2025,1,REG,0,0,0,0,0,0,0,6,4,40,0,,,-0.7789576242212206,0.1935483870967742,0.36752136752136755,0.5475875379101185,0.2,2026,2025,True
00-0033046,Jihad Ward,J.Ward,LB,LB,TEN,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033050,Xavien Howard,X.Howard,CB,DB,IND,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033055,Jalen Ramsey,J.Ramsey,CB,DB,PIT,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033073,Emmanuel Ogbah,E.Ogbah,DE,DL,JAX,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033077,Dak Prescott,D.Prescott,QB,QB,DAL,2025,1,REG,34,21,188,0,1,3,0,0,0,0,0,1.6543752712656965,-0.270603415730875,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033090,Hunter Henry,H.Henry,TE,TE,NE,2025,1,REG,0,0,0,0,0,0,0,8,4,66,0,,,2.938989326969022,0.17777777777777778,0.3314447592067989,0.4986779981114259,0.2,2026,2025,True
00-0033106,Jared Goff,J.Goff,QB,QB,DET,2025,1,REG,39,31,225,1,1,-1,0,0,0,0,0,1.3743778578947285,0.0,,0.0,0.0,0.0,0.2,2026,2025,True
