fighter,division,sample,data_completeness,td_attempts_per15,td_landed_per15,td_accuracy,repeat_attempt_rate,control_per15,control_seconds_per_td_landed,td_defense,opponent_td_attempts_per15,opponent_control_per15,opponent_control_seconds_per_td_allowed,sub_attempts_per15,opponent_sub_attempts_per15,submission_loss_rate,active_wrestling_rounds,repeat_attempt_rounds,td_attempts_per15_pct,td_landed_per15_pct,td_accuracy_pct,repeat_attempt_rate_pct,control_per15_pct,control_seconds_per_td_landed_pct,td_defense_pct,opponent_control_per15_pct,opponent_control_seconds_per_td_allowed_pct,sub_attempts_per15_pct,opponent_sub_attempts_per15_pct,submission_loss_rate_pct,chain_wrestling_score,control_retention_score,takedown_resistance_score,bottom_escape_score,submission_pressure_score,submission_resistance_score
Kevin Jousset,Men’s Welterweight,4,1.0,1.720183486238532,0.6880733944954128,0.4,0.25,0.819954128440367,71.5,1.0,1.3761467889908257,1.261467889908257,,0.3440366972477064,0.0,0.0,4,1,33.33333333333333,42.42424242424242,64.04494382022472,19.101123595505616,24.242424242424242,18.181818181818183,93.33333333333333,68.68686868686868,,66.66666666666666,77.27272727272728,64.64646464646464,38.826466916354555,21.21212121212121,81.01010101010101,68.68686868686868,45.45454545454545,70.2020202020202
Song Kenan,Men’s Welterweight,8,1.0,1.8105009052504528,0.5431502715751358,0.3,0.4,0.5853952926976463,64.66666666666667,0.7666666666666666,5.431502715751359,2.1333735666867835,101.0,0.0,0.18105009052504528,0.0,5,2,35.35353535353536,37.37373737373738,38.764044943820224,34.26966292134831,19.19191919191919,15.584415584415584,70.0,52.525252525252526,54.54545454545455,23.232323232323232,47.474747474747474,64.64646464646464,36.12908107290129,17.38816738816739,61.26262626262626,53.535353535353536,21.21212121212121,55.21885521885522
Ange Loosa,Men’s Welterweight,6,1.0,6.9331667707682705,2.810743285446596,0.40540540540540543,0.7142857142857143,3.8382261086820737,81.93333333333334,0.7777777777777778,1.6864459712679576,0.6745783885071831,108.0,0.0,0.0,0.0,14,10,80.8080808080808,81.81818181818183,67.41573033707866,71.91011235955057,71.71717171717171,28.57142857142857,71.11111111111111,80.8080808080808,51.298701298701296,23.232323232323232,77.27272727272728,64.64646464646464,73.37797450157001,50.14430014430014,75.95959595959596,66.05339105339105,47.474747474747474,69.32419432419432
Adam Fugitt,Men’s Welterweight,6,1.0,7.184325108853412,1.632801161103048,0.22727272727272727,1.0,1.904934687953556,70.0,0.5,1.3062409288824386,0.5660377358490567,52.0,0.0,0.32656023222060965,0.25,7,7,82.82828282828282,67.67676767676768,25.842696629213485,94.9438202247191,41.41414141414141,16.883116883116884,23.333333333333332,84.84848484848484,90.9090909090909,23.232323232323232,35.35353535353535,21.717171717171723,67.8715998940718,29.148629148629148,54.090909090909086,87.87878787878788,32.32323232323232,48.31649831649832
Billy Ray Goff,Men’s Welterweight,3,1.0,11.046171829339567,0.5260081823495032,0.047619047619047616,0.8,4.129164231443601,471.0,0.5,2.104032729398013,1.4202220923436588,81.0,0.0,1.0520163646990064,0.3333333333333333,5,4,92.92929292929293,36.36363636363637,14.606741573033707,78.08988764044943,74.74747474747475,97.40259740259741,23.333333333333332,65.65656565656565,74.02597402597404,23.232323232323232,10.101010101010104,15.656565656565661,61.875307380925356,86.07503607503608,44.49494949494949,69.84126984126985,48.98989898989899,31.86628186628187
Court McGee,Men’s Welterweight,8,1.0,5.3550178500595,1.9635065450218168,0.36666666666666664,0.6153846153846154,4.81951606505355,147.27272727272728,0.8666666666666667,2.67750892502975,0.7021023403411345,118.0,0.53550178500595,0.3570011900039667,0.0,13,8,70.70707070707071,70.70707070707071,59.55056179775281,65.1685393258427,78.78787878787878,62.33766233766234,78.88888888888889,79.79797979797979,41.55844155844156,78.78787878787878,33.33333333333333,64.64646464646464,65.14205727688874,70.56277056277057,79.34343434343434,60.678210678210675,78.78787878787878,52.88600288600288
Bassil Hafez,Men’s Welterweight,3,1.0,9.221311475409836,2.2131147540983607,0.24,0.8,2.9877049180327866,81.0,0.5,1.4754098360655739,0.5655737704918034,46.0,0.0,0.0,0.0,5,4,88.88888888888889,76.76767676767676,26.96629213483146,78.08988764044943,63.63636363636363,27.27272727272727,23.333333333333332,85.85858585858585,96.1038961038961,23.232323232323232,77.27272727272728,64.64646464646464,64.64835622138993,45.45454545454545,54.59595959595959,90.98124098124097,43.43434343434343,77.63347763347763
Zachary Scroggin,Men’s Welterweight,1,0.7142857142857143,0.0,0.0,,,0.0,,,0.0,4.0,,0.0,0.0,0.0,0,0,5.555555555555555,11.616161616161616,,,3.0303030303030303,,,23.232323232323225,,23.232323232323232,77.27272727272728,64.64646464646464,5.555555555555555,3.0303030303030303,23.232323232323225,23.232323232323225,13.131313131313131,55.050505050505045
Kiefer Crosbie,Men’s Welterweight,3,1.0,1.3392857142857144,0.0,0.0,0.0,0.5133928571428572,,0.4,6.696428571428572,6.517857142857143,97.33333333333333,0.0,2.678571428571429,0.6666666666666666,1,0,29.292929292929294,11.616161616161616,7.303370786516854,7.303370786516854,16.161616161616163,,6.666666666666667,7.070707070707073,58.44155844155844,23.232323232323232,2.0202020202020208,2.525252525252526,14.633223621987666,16.161616161616163,6.86868686868687,32.75613275613276,19.696969696969695,12.433862433862435
Niko Price,Men’s Welterweight,8,1.0,3.3866415804327374,1.4816556914393226,0.4375,0.5,2.342427093132643,94.85714285714286,0.2777777777777778,3.8099717779868296,4.494355597365945,98.0,0.2116650987770461,1.2699905926622763,0.3333333333333333,10,5,51.515151515151516,63.63636363636363,70.78651685393258,47.752808988764045,57.57575757575758,36.36363636363637,2.2222222222222223,19.191919191919183,56.493506493506494,57.57575757575758,6.060606060606062,15.656565656565661,56.684825785949386,46.96969696969697,10.707070707070702,37.84271284271284,57.57575757575758,19.853294853294855
