fighter,division,sample,minutes,data_completeness,sig_landed_per_min,sig_attempted_per_min,sig_absorbed_per_min,sig_diff_per_min,sig_accuracy,sig_defense,kd_per15,kd_absorbed_per15,td_per15,td_accuracy,td_defense,sub_attempts_per15,control_share,finish_loss_rate,ground_strike_share,clinch_strike_share,distance_strike_share,sig_diff_per_min_pct,sig_accuracy_pct,sig_defense_pct,kd_per15_pct,td_per15_pct,td_accuracy_pct,td_defense_pct,sub_attempts_per15_pct,control_share_pct,kd_absorbed_per15_pct,finish_loss_rate_pct,sig_attempted_per_min_pct,striking_score,wrestling_score,grappling_score,durability_score,pace_score
Gregory Rodrigues,Men’s Middleweight,8,68.33333333333333,1.0,5.048780487804878,10.419512195121952,3.980487804878049,1.0682926829268289,0.4845505617977528,0.5054545454545454,0.8780487804878049,0.6585365853658537,1.5365853658536586,0.25925925925925924,0.625,0.21951219512195122,0.7474275023386342,1.0,0.02608695652173913,0.10144927536231885,0.8724637681159421,74.4186046511628,45.348837209302324,54.65116279069767,80.23255813953489,60.46511627906976,28.749999999999996,51.23456790123457,51.162790697674424,75.5813953488372,27.906976744186046,12.790697674418604,79.06976744186046,63.66279069767442,54.00776988228539,62.4031007751938,31.782945736434105,79.06976744186046
Caio Borralho,Men’s Middleweight,8,124.98333333333332,1.0,3.424456594212562,6.272836378183759,2.8323776503533806,0.5920789438591814,0.5459183673469388,0.5945017182130584,0.3600480064008535,0.0,1.0801440192025604,0.42857142857142855,0.7647058823529411,0.4800640085344713,0.7302513464991023,0.0,0.10514018691588785,0.037383177570093455,0.8574766355140186,65.11627906976744,73.25581395348837,90.69767441860465,58.139534883720934,47.674418604651166,58.75,71.60493827160494,63.95348837209303,73.25581395348837,83.72093023255815,84.88372093023257,32.55813953488372,71.80232558139535,62.821292707436115,61.62790697674419,86.4341085271318,32.55813953488372
Joe Pyfer,Men’s Middleweight,8,71.73333333333333,1.0,3.5269516728624537,8.155204460966543,3.3317843866171004,0.1951672862453533,0.4324786324786325,0.5267326732673268,1.0455390334572492,0.0,1.254646840148699,0.25,0.6666666666666667,0.8364312267657993,0.5520094562647754,0.0,0.12648221343873517,0.02766798418972332,0.8458498023715415,61.627906976744185,15.11627906976744,65.11627906976744,86.04651162790698,54.65116279069767,26.875,56.79012345679012,80.23255813953489,53.48837209302325,83.72093023255815,84.88372093023257,60.46511627906976,56.97674418604652,47.95116458512776,62.7906976744186,77.90697674418605,60.46511627906976
Vicente Luque,Men’s Middleweight,8,96.35,1.0,3.549558899844318,7.991696938245979,4.618578100674624,-1.0690192008303057,0.44415584415584414,0.49660633484162897,0.15568240788790866,0.3113648157758173,1.2454592631032693,0.47058823529411764,0.5217391304347826,0.3113648157758173,0.4006669842782277,0.6,0.029239766081871343,0.04678362573099415,0.9239766081871345,22.093023255813954,18.6046511627907,47.674418604651166,39.53488372093023,53.48837209302325,68.75,35.18518518518518,54.65116279069767,34.883720930232556,51.16279069767442,46.51162790697675,59.30232558139535,31.97674418604651,48.07681955211025,47.67441860465116,48.44961240310078,59.30232558139535
Anthony Hernandez,Men’s Middleweight,8,113.78333333333333,1.0,4.499780284165812,7.241833894829354,2.6805331770909624,1.8192471070748497,0.6213592233009708,0.5249221183800623,0.0,0.13182950051267028,6.327816024608174,0.46601941747572817,0.6,1.5819540061520434,0.8826185101580135,1.0,0.45703125,0.10546875,0.4375,81.3953488372093,88.37209302325581,62.7906976744186,16.86046511627907,100.0,67.5,46.2962962962963,94.18604651162791,91.86046511627907,63.95348837209302,12.790697674418604,47.674418604651166,62.354651162790695,76.41419035314385,95.34883720930232,46.51162790697674,47.674418604651166
Christian Leroy Duncan,Men’s Middleweight,8,95.23333333333332,1.0,4.588729436471824,7.864893244662234,2.2891144557227863,2.2996149807490376,0.5834445927903872,0.5448851774530271,0.3150157507875394,0.0,0.3150157507875394,0.14285714285714285,0.5757575757575757,0.0,0.402526459542506,0.0,0.06636155606407322,0.2036613272311213,0.7299771167048055,89.53488372093024,83.72093023255815,74.4186046511628,53.48837209302325,24.418604651162788,15.625,44.44444444444444,23.837209302325583,36.04651162790697,83.72093023255815,84.88372093023257,54.65116279069767,75.29069767441861,30.13364018087855,28.100775193798444,81.00775193798451,54.65116279069767
Israel Adesanya,Men’s Middleweight,8,139.8,1.0,4.155937052932761,8.984263233190271,4.055793991416309,0.10014306151645247,0.4625796178343949,0.4807692307692307,0.21459227467811157,0.21459227467811157,0.10729613733905578,0.125,0.6857142857142857,0.0,0.30029585798816566,0.8,0.013769363166953529,0.0189328743545611,0.9672977624784854,56.97674418604651,27.906976744186046,37.2093023255814,46.51162790697674,19.767441860465116,13.750000000000002,60.49382716049383,23.837209302325583,22.093023255813954,56.97674418604651,29.06976744186047,68.6046511627907,42.151162790697676,29.026073069193224,21.89922480620155,41.08527131782946,68.6046511627907
Bo Nickal,Men’s Middleweight,7,51.016666666666666,1.0,3.351845802025482,5.449199607971251,1.999346618752042,1.35249918327344,0.6151079136690647,0.6,0.8820646847435479,0.29402156158118264,2.352172492649461,0.5,1.0,1.470107807905913,0.8419753086419753,1.0,0.12280701754385964,0.07602339181286549,0.8011695906432749,77.90697674418605,87.20930232558139,93.6046511627907,81.3953488372093,77.90697674418605,75.0,94.44444444444444,93.02325581395348,87.20930232558139,53.48837209302325,12.790697674418604,20.930232558139537,85.02906976744185,83.64018087855298,86.04651162790698,53.29457364341085,20.930232558139537
Shara Magomedov,Men’s Middleweight,7,97.31666666666668,1.0,5.548895358794313,8.83712964548724,3.617057715362219,1.931837643432094,0.627906976744186,0.4542635658914729,0.30827196437746185,0.15413598218873092,0.0,0.0,0.7333333333333334,0.0,0.10569105691056911,0.0,0.05925925925925926,0.1425925925925926,0.7981481481481482,84.88372093023256,89.53488372093024,25.581395348837212,52.32558139534884,9.30232558139535,6.25,67.90123456790124,23.837209302325583,6.976744186046512,61.627906976744185,84.88372093023257,67.44186046511628,63.08139534883722,22.607576083835777,13.372093023255815,57.36434108527133,67.44186046511628
Ikram Aliskerov,Men’s Middleweight,6,41.0,1.0,5.682926829268292,9.365853658536585,3.8048780487804876,1.8780487804878048,0.6067708333333334,0.45833333333333337,1.097560975609756,0.36585365853658536,3.6585365853658534,0.7692307692307693,1.0,0.36585365853658536,0.9698231009365245,1.0,0.1630901287553648,0.02145922746781116,0.8154506437768241,82.55813953488372,86.04651162790698,27.906976744186046,89.53488372093024,91.86046511627907,90.0,94.44444444444444,59.30232558139535,97.67441860465115,44.18604651162791,12.790697674418604,73.25581395348837,71.51162790697674,93.49483204134367,82.94573643410853,28.294573643410857,73.25581395348837
Ateba Gautier,Men’s Middleweight,5,27.550000000000004,1.0,3.992740471869328,10.635208711433755,3.049001814882032,0.9437386569872959,0.37542662116040953,0.5384615384615384,3.2667876588021776,0.0,0.5444646098003629,1.0,1.0,0.0,0.06756756756756757,0.0,0.045454545454545456,0.10909090909090909,0.8454545454545455,70.93023255813954,5.813953488372093,69.76744186046511,96.51162790697676,32.55813953488372,96.875,94.44444444444444,23.837209302325583,4.651162790697675,83.72093023255815,84.88372093023257,80.23255813953489,60.75581395348837,57.13218669250646,20.348837209302328,79.45736434108528,80.23255813953489
JunYong Park,Men’s Middleweight,8,96.9,1.0,4.613003095975232,8.555211558307533,3.8183694530443755,0.7946336429308567,0.5392038600723763,0.5046854082998662,0.15479876160990713,0.0,1.0835913312693497,0.30434782608695654,0.5714285714285714,1.0835913312693497,0.5207584177835894,0.0,0.09395973154362416,0.06935123042505593,0.8366890380313199,68.6046511627907,69.76744186046511,53.48837209302325,38.372093023255815,48.837209302325576,37.5,43.20987654320987,86.04651162790698,48.837209302325576,83.72093023255815,84.88372093023257,63.95348837209303,57.55813953488372,44.59607378696525,61.24031007751938,74.03100775193799,63.95348837209303
Nursulton Ruziboev,Men’s Middleweight,6,44.099999999999994,1.0,2.3809523809523814,5.124716553287983,2.6757369614512476,-0.29478458049886624,0.4646017699115044,0.49356223175965663,1.0204081632653061,0.34013605442176875,1.360544217687075,0.8,0.33333333333333337,0.34013605442176875,0.39812206572769954,0.0,0.20952380952380953,0.0761904761904762,0.7142857142857143,46.51162790697674,30.23255813953488,44.18604651162791,84.88372093023256,55.81395348837209,91.25,13.580246913580247,55.81395348837209,33.72093023255814,46.51162790697675,84.88372093023257,17.441860465116278,51.45348837209302,48.59128265862762,48.449612403100765,58.52713178294575,17.441860465116278
Roman Dolidze,Men’s Middleweight,8,126.85,1.0,3.4371304690579425,8.632242806464328,4.651162790697675,-1.2140323216397322,0.39817351598173517,0.45269016697588127,0.0,0.11824990145841546,0.5912495072920773,0.3333333333333333,0.3125,0.3547497043752464,0.6340956340956341,0.25,0.13302752293577982,0.0389908256880734,0.8279816513761468,19.767441860465116,8.13953488372093,24.418604651162788,16.86046511627907,33.72093023255814,45.0,9.876543209876543,56.97674418604651,62.7906976744186,65.11627906976744,66.27906976744187,65.11627906976744,17.296511627906977,37.847042779213325,51.16279069767442,51.937984496124024,65.11627906976744
Jacob Malkoun,Men’s Middleweight,8,99.9,1.0,4.244244244244244,7.4474474474474475,2.2622622622622623,1.9819819819819813,0.5698924731182796,0.55859375,0.15015015015015015,0.0,5.405405405405405,0.42857142857142855,0.5555555555555556,0.7507507507507507,0.8359260346345758,0.0,0.27358490566037735,0.03773584905660377,0.6886792452830188,87.20930232558139,81.3953488372093,82.55813953488372,37.2093023255814,97.67441860465115,58.75,39.50617283950617,77.90697674418605,86.04651162790698,83.72093023255815,84.88372093023257,51.162790697674424,72.09302325581395,70.49427576801608,87.20930232558139,83.72093023255815,51.162790697674424
Edmen Shahbazyan,Men’s Middleweight,8,71.0,1.0,4.704225352112676,9.788732394366198,3.676056338028169,1.028169014084507,0.4805755395683453,0.532258064516129,0.8450704225352113,0.0,0.4225352112676056,0.3333333333333333,0.7105263157894737,0.2112676056338028,0.37333333333333335,0.6666666666666666,0.16467065868263472,0.08982035928143713,0.7455089820359282,73.25581395348837,40.69767441860465,68.6046511627907,79.06976744186046,30.23255813953488,45.0,62.96296296296296,50.0,29.069767441860467,83.72093023255815,41.27906976744186,76.74418604651163,65.40697674418604,41.81632213608958,36.43410852713178,64.53488372093024,76.74418604651163
Abus Magomedov,Men’s Middleweight,8,78.06666666666666,1.0,3.061485909479078,6.289496157130658,3.343296327924851,-0.2818104184457728,0.48676171079429736,0.5642737896494157,0.3842869342442357,0.5764304013663536,2.497865072587532,0.5909090909090909,1.0,0.5764304013663536,0.7707006369426752,0.6666666666666666,0.100418410041841,0.03347280334728033,0.8661087866108786,47.674418604651166,50.0,86.04651162790698,62.7906976744186,81.3953488372093,85.0,94.44444444444444,67.44186046511628,77.90697674418605,34.88372093023256,41.27906976744186,33.72093023255814,61.627906976744185,84.68669250645995,75.5813953488372,54.06976744186047,33.72093023255814
Reinier de Ridder,Men’s Middleweight,6,82.13333333333334,1.0,2.4715909090909087,5.0892857142857135,2.362012987012987,0.10957792207792183,0.48564593301435405,0.46849315068493147,0.36525974025974023,0.18262987012987011,2.5568181818181817,0.2916666666666667,0.4,0.5478896103896104,0.5785123966942148,0.5,0.08866995073891626,0.15270935960591134,0.7586206896551724,59.30232558139535,47.674418604651166,30.23255813953488,59.30232558139535,83.72093023255815,33.75,20.37037037037037,65.11627906976744,58.139534883720934,59.302325581395344,53.48837209302325,16.27906976744186,49.127906976744185,48.99520887166236,68.9922480620155,47.67441860465116,16.27906976744186
Michel Pereira,Men’s Middleweight,8,71.1,1.0,3.0942334739803097,6.779184247538678,5.119549929676513,-2.025316455696203,0.45643153526970953,0.388235294117647,0.4219409282700422,0.2109704641350211,0.4219409282700422,0.4,0.6666666666666667,0.6329113924050633,0.2663582286847323,0.5,0.10909090909090909,0.07727272727272727,0.8136363636363636,10.465116279069768,25.581395348837212,12.209302325581394,67.44186046511628,29.069767441860467,53.75,56.79012345679012,70.93023255813954,19.767441860465116,58.13953488372093,53.48837209302325,37.2093023255814,28.924418604651162,39.84433318977892,39.922480620155035,41.279069767441854,37.2093023255814
Roman Kopylov,Men’s Middleweight,8,98.65,1.0,4.541307653319818,9.062341611758743,5.625950329447542,-1.0846426761277241,0.5011185682326622,0.5,1.0643689812468322,0.15205271160669032,1.3684744044602128,0.5,0.8846153846153846,0.0,0.6867686768676867,0.3333333333333333,0.05133928571428571,0.03125,0.9174107142857143,20.930232558139537,56.97674418604651,51.162790697674424,88.37209302325581,58.139534883720934,75.0,83.9506172839506,23.837209302325583,69.76744186046511,62.7906976744186,62.7906976744186,70.93023255813954,54.360465116279066,71.71439850703416,50.58139534883721,58.91472868217054,70.93023255813954
Jared Cannonier,Men’s Middleweight,8,161.91666666666666,1.0,4.644364384971693,9.541945445187855,5.224909933093155,-0.5805455481214619,0.4867313915857605,0.5061295971978984,0.18528049408131755,0.27792074112197634,1.204323211528564,0.4482758620689655,0.6153846153846154,0.0,0.812360053739364,0.2,0.047872340425531915,0.10106382978723404,0.851063829787234,39.53488372093023,48.837209302325576,55.81395348837209,44.18604651162791,51.162790697674424,65.0,49.382716049382715,23.837209302325583,82.55813953488372,54.651162790697676,68.6046511627907,75.5813953488372,47.09302325581396,62.02591157048522,52.519379844961236,59.68992248062016,75.5813953488372
Cam Rowston,Men’s Middleweight,3,26.816666666666666,1.0,5.518955873213176,11.37352392790553,1.9763828464885023,3.542573026724673,0.4852459016393443,0.5391304347826087,0.5593536357986327,0.0,1.678060907395898,0.42857142857142855,1.0,0.0,0.9697732997481109,0.0,0.4594594594594595,0.05405405405405406,0.4864864864864865,95.34883720930233,46.51162790697674,70.93023255813954,73.25581395348837,65.11627906976744,58.75,94.44444444444444,23.837209302325583,96.51162790697676,83.72093023255815,84.88372093023257,88.37209302325581,71.51162790697674,78.70558785529715,61.821705426356594,79.8449612403101,88.37209302325581
Baisangur Susurkaev,Men’s Middleweight,3,32.85,1.0,5.966514459665144,11.050228310502282,4.657534246575342,1.3089802130898018,0.5399449035812672,0.5909090909090908,0.45662100456621,0.0,2.28310502283105,0.2631578947368421,1.0,0.91324200913242,0.7510668563300142,0.0,0.09693877551020408,0.07653061224489796,0.826530612244898,76.74418604651163,70.93023255813954,89.53488372093024,70.93023255813954,76.74418604651163,30.0,94.44444444444444,81.3953488372093,76.74418604651163,83.72093023255815,84.88372093023257,83.72093023255815,77.03488372093024,69.48320413436693,78.29457364341086,86.04651162790698,83.72093023255815
